,ON_DAY,SUM_VALUES,MAX(AGE1_SEX0),MAX(AGE2_SEX0),MAX(AGE3_SEX0),MAX(AGE1_SEX1),MAX(AGE2_SEX1),MAX(AGE3_SEX1),Class
0,63,139,11,73,4,7,40,4,0
2,67,100,2,55,2,5,35,1,0
3,118,134,3,83,9,6,30,3,0
6,316,167,6,89,7,5,59,1,0
7,318,156,6,97,3,5,43,2,0
8,29,130,2,95,4,4,24,1,0
10,353,145,3,96,3,1,40,2,0
11,84,146,15,66,4,11,47,3,0
12,195,179,15,96,6,12,45,5,0
14,311,165,6,102,10,4,37,6,0
15,360,131,4,83,5,6,31,2,0
16,90,144,12,67,2,13,48,2,0
17,210,152,14,61,4,10,55,8,0
19,256,159,2,81,6,5,60,5,0
21,319,159,2,100,4,4,47,2,0
23,228,180,14,68,11,18,61,8,0
24,255,183,2,97,12,4,60,8,0
25,145,179,3,116,3,2,52,3,0
27,279,161,10,90,6,9,43,3,0
29,105,68,1,38,2,4,21,2,0
30,123,143,13,81,6,11,28,4,0
31,130,178,4,105,9,6,49,5,0
32,158,174,3,99,7,9,53,3,0
33,273,122,8,60,6,5,38,5,0
34,3,120,9,44,1,17,48,1,0
36,57,108,13,40,1,11,42,1,0
43,148,184,3,118,5,5,50,3,0
44,152,172,5,83,3,6,72,3,0
45,5,104,10,32,2,18,40,2,0
46,53,150,15,81,2,8,40,4,0
47,117,168,9,83,4,18,49,5,0
49,122,123,5,67,5,3,34,9,0
51,296,152,2,100,2,4,43,1,0
52,30,129,4,85,2,6,30,2,0
53,45,173,6,114,7,3,42,1,0
54,97,133,8,75,3,5,35,7,0
56,116,159,12,84,10,4,45,4,0
57,37,153,4,104,1,7,36,1,0
58,33,127,6,71,3,13,33,1,0
59,84,123,15,45,4,16,37,6,0
60,120,112,5,46,8,1,44,8,0
61,247,144,11,70,8,15,34,6,0
62,341,128,2,84,3,3,35,1,0
63,345,129,1,71,1,4,51,1,0
65,143,180,7,100,10,4,52,6,0
67,189,180,9,101,9,12,44,5,0
69,321,121,4,64,8,5,39,1,0
70,307,149,10,68,2,12,50,7,0
71,24,148,1,92,6,1,46,2,0
72,81,151,6,84,4,9,45,3,0
74,309,128,11,50,4,13,47,3,0
75,111,122,4,66,3,5,40,4,0
76,182,159,13,72,7,11,48,8,0
78,250,179,18,102,6,11,38,4,0
79,313,156,4,103,6,8,31,4,0
80,344,124,2,84,5,1,30,2,0
81,32,131,2,86,5,3,32,3,0
82,51,169,6,109,5,2,44,3,0
83,80,159,2,109,2,3,41,2,0
84,14,91,10,46,2,11,21,1,0
85,146,177,7,93,11,7,50,9,0
87,185,157,6,82,9,10,43,7,0
88,217,143,9,62,6,9,51,6,0
91,163,146,11,75,4,8,44,4,0
94,291,179,1,112,5,5,55,1,0
97,103,132,2,72,3,5,46,4,0
99,114,160,2,93,7,1,49,8,0
102,351,133,6,87,5,1,32,2,0
103,4,90,11,35,2,7,30,5,0
104,40,137,9,75,3,8,38,4,0
105,115,162,3,97,6,3,51,2,0
110,278,138,3,85,5,4,37,4,0
111,83,162,13,90,5,11,39,4,0
112,74,146,3,99,3,4,36,1,0
113,75,148,9,86,3,7,42,1,0
115,179,172,14,95,5,5,48,5,0
116,207,176,10,77,12,9,60,8,0
118,27,78,5,40,1,5,26,1,0
119,46,154,3,101,4,4,41,1,0
120,90,130,6,71,3,5,42,3,0
121,96,133,2,88,4,5,33,1,0
125,318,158,3,89,4,9,50,3,0
126,312,158,5,84,5,9,52,3,0
128,167,142,14,75,2,7,39,5,0
130,75,106,4,66,3,3,29,1,0
131,18,136,5,80,5,6,39,1,0
132,3,128,9,56,4,9,49,1,0
133,83,148,4,85,4,5,46,4,0
134,111,180,4,117,6,3,48,2,0
136,3,118,10,44,2,14,42,6,0
138,160,180,6,89,13,7,59,6,0
139,296,169,7,90,5,7,56,4,0
140,324,133,3,81,1,1,46,1,0
141,314,150,6,84,1,3,50,6,0
142,348,144,2,93,6,2,40,1,0
143,64,135,5,90,5,2,32,1,0
144,60,146,4,96,1,6,37,2,0
146,290,141,1,84,3,1,49,3,0
147,360,132,3,86,4,5,30,4,0
148,73,138,3,95,3,1,33,3,0
150,94,142,4,84,1,3,47,3,0
151,198,176,5,98,8,7,51,7,0
152,251,172,15,80,7,11,51,8,0
154,43,143,5,96,1,3,37,1,0
155,66,122,1,75,5,7,31,3,0
156,63,111,1,68,1,3,35,3,0
160,60,146,1,96,3,5,40,1,0
161,98,78,5,38,5,2,26,2,0
162,137,181,4,119,5,7,42,4,0
165,262,183,2,103,12,3,58,5,0
166,312,149,4,95,4,3,40,2,0
167,319,168,1,96,6,7,56,2,0
168,38,140,7,85,3,15,28,2,0
169,68,130,4,89,1,2,33,1,0
170,135,153,7,79,11,7,36,13,0
171,157,149,4,78,6,8,49,4,0
174,288,172,3,98,10,4,50,7,0
176,49,149,6,98,5,5,34,1,0
177,59,81,2,49,3,1,24,2,0
178,81,170,4,104,6,6,48,2,0
179,98,144,3,78,3,8,46,6,0
180,147,169,9,77,13,11,48,11,0
182,229,150,11,65,9,15,43,7,0
183,281,116,6,47,2,7,46,8,0
184,346,132,4,91,9,1,25,2,0
186,196,156,16,63,7,18,49,3,0
187,201,157,18,64,6,11,54,4,0
188,333,167,3,110,3,3,45,3,0
191,41,127,10,65,5,14,29,4,0
193,192,177,15,90,6,19,43,4,0
195,341,133,3,85,3,6,34,2,0
196,352,128,2,88,6,4,22,6,0
197,70,127,6,77,5,3,33,3,0
198,48,127,7,72,2,4,37,5,0
199,89,153,3,97,5,5,41,2,0
200,95,137,6,73,4,3,41,10,0
201,173,169,8,84,11,8,51,7,0
202,153,142,6,75,8,9,39,5,0
203,198,168,12,73,7,18,56,2,0
204,189,121,7,51,10,6,42,5,0
206,289,166,7,106,5,7,39,2,0
207,71,134,11,65,4,11,41,2,0
208,222,174,14,86,4,18,49,3,0
212,63,105,6,50,3,12,33,1,0
213,172,182,9,108,16,7,38,4,0
215,329,122,6,63,3,5,40,5,0
217,24,133,2,95,5,2,27,2,0
218,42,117,15,50,3,10,36,3,0
219,264,163,2,103,7,3,46,2,0
221,363,126,8,60,4,11,39,4,0
225,30,136,3,78,4,5,42,4,0
226,44,143,9,83,5,9,33,4,0
228,136,141,4,84,5,3,41,4,0
230,18,145,10,102,2,4,25,2,0
231,76,114,6,57,4,7,38,2,0
232,178,173,7,95,7,14,46,4,0
233,285,175,5,89,14,2,56,9,0
235,26,79,7,52,2,2,15,1,0
236,13,122,12,71,1,6,31,1,0
239,214,161,12,68,10,8,50,13,0
241,4,96,10,34,1,8,42,1,0
242,91,138,16,68,2,7,43,2,0
243,113,166,1,111,8,3,41,2,0
246,183,178,15,101,7,11,37,7,0
247,256,181,6,115,7,6,46,1,0
250,339,146,3,90,10,4,35,4,0
252,86,156,6,79,9,8,47,7,0
253,23,131,8,69,4,7,41,2,0
254,97,161,2,88,5,11,53,2,0
257,34,125,9,53,1,17,41,4,0
259,193,166,14,68,11,13,50,10,0
262,340,143,3,95,7,3,34,1,0
264,22,141,5,100,3,2,30,1,0
265,28,121,2,71,5,2,40,1,0
266,74,140,7,72,9,7,42,3,0
267,32,143,3,82,4,9,43,2,0
270,107,155,2,89,4,2,57,1,0
271,218,177,15,76,9,8,61,8,0
272,58,132,6,63,4,7,43,9,0
273,16,142,13,59,3,13,51,3,0
274,101,137,3,86,1,3,42,2,0
275,251,130,4,67,6,11,36,6,0
276,263,156,2,97,7,10,37,3,0
277,322,144,1,76,2,9,52,4,0
278,131,155,3,86,6,10,46,4,0
279,145,161,5,100,7,1,47,1,0
281,36,125,3,94,5,2,20,1,0
282,48,97,12,43,5,4,30,3,0
283,192,148,10,76,2,8,47,5,0
284,195,161,12,64,8,18,55,4,0
285,268,127,4,68,6,3,41,5,0
286,317,142,2,78,7,5,48,2,0
287,66,108,5,71,1,5,25,1,0
288,88,167,13,99,4,10,39,2,0
289,104,106,6,50,2,10,37,1,0
290,112,123,6,66,1,6,39,5,0
291,247,174,10,94,5,8,54,3,0
292,277,177,2,106,9,2,52,6,0
293,45,151,3,100,6,3,37,2,0
296,316,131,5,63,8,3,49,3,0
297,82,156,6,92,8,5,40,5,0
298,87,150,4,85,7,6,47,1,0
299,101,177,1,103,7,1,63,2,0
300,125,149,3,77,5,8,52,4,0
301,274,179,5,107,7,7,49,4,0
303,42,118,2,76,1,5,33,1,0
304,71,118,3,57,5,4,41,8,0
306,216,132,11,59,4,13,40,5,0
307,293,144,5,87,2,6,43,1,0
